name,image_url
משה אבוטבול,https://fs.knesset.gov.il/globaldocs/MK/1029/1_1029_3_13527.jpeg
יולי יואל אדלשטיין,https://fs.knesset.gov.il/globaldocs/MK/1/1_1_3_4.jpeg
אמיר אוחנה,https://fs.knesset.gov.il/globaldocs/MK/953/1_953_3_2628.jpeg
ינון אזולאי,https://fs.knesset.gov.il/globaldocs/MK/970/1_970_3_2722.jpeg
ישראל אייכלר,https://fs.knesset.gov.il/globaldocs/MK/754/1_754_3_1681.jpeg
זאב אלקין,https://fs.knesset.gov.il/globaldocs/MK/768/1_768_3_1721.jpeg
עמיחי אליהו,https://fs.knesset.gov.il/globaldocs/MK/1096/1_1096_3_19667.jpeg
קארין אלהרר,https://fs.knesset.gov.il/globaldocs/MK/860/1_860_3_2066.jpeg
ואליד אלהואשלה,https://fs.knesset.gov.il/globaldocs/MK/1093/1_1093_3_19652.jpeg
דן אילוז,https://fs.knesset.gov.il/globaldocs/MK/1116/1_1116_3_19861.jpeg
משה ארבל,https://fs.knesset.gov.il/globaldocs/MK/1008/1_1008_3_11235.jpeg
יעקב אשר,https://fs.knesset.gov.il/globaldocs/MK/861/1_861_3_2073.jpeg
אביחי אברהם בוארון,https://fs.knesset.gov.il/globaldocs/MK/1126/1_1126_3_20040.jpeg
אוריאל בוסו,https://fs.knesset.gov.il/globaldocs/MK/1039/1_1039_3_15050.jpeg
מישל בוסקילה,https://fs.knesset.gov.il/globaldocs/MK/1088/1_1088_3_19591.jpeg
דבי ביטון,https://fs.knesset.gov.il/globaldocs/MK/1094/1_1094_3_19657.jpeg
מירב  בן ארי,https://fs.knesset.gov.il/globaldocs/MK/915/1_915_3_2385.jpeg
ולדימיר בליאק,https://fs.knesset.gov.il/globaldocs/MK/1049/1_1049_3_16601.jpeg
בועז ביסמוט,https://fs.knesset.gov.il/globaldocs/MK/1095/1_1095_3_19662.jpeg
דוד ביטן,https://fs.knesset.gov.il/globaldocs/MK/914/1_914_3_2378.jpeg
מיכאל מרדכי ביטון,https://fs.knesset.gov.il/globaldocs/MK/1003/1_1003_3_11237.jpeg
רם בן ברק,https://fs.knesset.gov.il/globaldocs/MK/1022/1_1022_3_11242.jpeg
איתמר בן גביר,https://fs.knesset.gov.il/globaldocs/MK/1056/1_1056_3_17788.jpeg
סמיר בן סעיד,https://fs.knesset.gov.il/globaldocs/MK/1129/1_1129_3_20971.jpeg
יואב בן צור,https://fs.knesset.gov.il/globaldocs/MK/906/1_906_3_2332.jpeg
ניר ברקת,https://fs.knesset.gov.il/globaldocs/MK/974/1_974_3_12308.jpeg
ששון ששי גואטה,https://fs.knesset.gov.il/globaldocs/MK/1125/1_1125_3_20029.jpeg
טלי גוטליב,https://fs.knesset.gov.il/globaldocs/MK/1098/1_1098_3_19677.jpeg
יצחק גולדקנופ,https://fs.knesset.gov.il/globaldocs/MK/1099/1_1099_3_19749.jpeg
מאי גולן,https://fs.knesset.gov.il/globaldocs/MK/1002/1_1002_3_12304.jpeg
איתן גינזבורג,https://fs.knesset.gov.il/globaldocs/MK/981/1_981_3_11118.jpeg
משה גפני,https://fs.knesset.gov.il/globaldocs/MK/35/1_35_3_93.jpeg
בני גנץ,https://fs.knesset.gov.il/globaldocs/MK/988/1_988_3_12347.jpeg
גילה גמליאל,https://fs.knesset.gov.il/globaldocs/MK/723/1_723_3_1586.jpeg
סימון דוידסון,https://fs.knesset.gov.il/globaldocs/MK/1085/1_1085_3_18028.jpeg
אבי דיכטר,https://fs.knesset.gov.il/globaldocs/MK/771/1_771_3_1732.jpeg
גלית דיסטל אטבריאן,https://fs.knesset.gov.il/globaldocs/MK/1059/1_1059_3_17778.jpeg
אלי דלל,https://fs.knesset.gov.il/globaldocs/MK/1100/1_1100_3_19682.jpeg
שלום דנינו,https://fs.knesset.gov.il/globaldocs/MK/1101/1_1101_3_19687.jpeg
אריה מכלוף דרעי,https://fs.knesset.gov.il/globaldocs/MK/41/1_41_3_110.jpeg
עמית הלוי,https://fs.knesset.gov.il/globaldocs/MK/1044/1_1044_3_16220.jpeg
שרן מרים השכל,https://fs.knesset.gov.il/globaldocs/MK/950/1_950_3_2607.jpeg
ניסים ואטורי,https://fs.knesset.gov.il/globaldocs/MK/1045/1_1045_3_16502.jpeg
מיכל מרים וולדיגר,https://fs.knesset.gov.il/globaldocs/MK/1060/1_1060_3_17793.jpeg
יצחק שמעון וסרלאוף,https://fs.knesset.gov.il/globaldocs/MK/1102/1_1102_3_19692.jpeg
אימאן ח'טיב יאסין,https://fs.knesset.gov.il/globaldocs/MK/1032/1_1032_3_13745.jpeg
יאסר חוג'יראת,https://fs.knesset.gov.il/globaldocs/MK/1103/1_1103_3_19697.jpeg
אכרם  חסון,https://fs.knesset.gov.il/globaldocs/MK/854/1_854_3_2044.jpeg
ווליד טאהא,https://fs.knesset.gov.il/globaldocs/MK/1026/1_1026_3_13539.jpeg
בועז טופורובסקי,https://fs.knesset.gov.il/globaldocs/MK/872/1_872_3_2141.jpeg
משה טור פז,https://fs.knesset.gov.il/globaldocs/MK/1050/1_1050_3_16606.jpeg
אחמד טיבי,https://fs.knesset.gov.il/globaldocs/MK/208/1_208_3_520.jpeg
יוסף טייב,https://fs.knesset.gov.il/globaldocs/MK/1043/1_1043_3_15131.jpeg
אוהד טל,https://fs.knesset.gov.il/globaldocs/MK/1090/1_1090_3_19702.jpeg
יעקב טסלר,https://fs.knesset.gov.il/globaldocs/MK/996/1_996_3_11221.jpeg
חילי טרופר,https://fs.knesset.gov.il/globaldocs/MK/1000/1_1000_3_11227.jpeg
מאיר כהן,https://fs.knesset.gov.il/globaldocs/MK/874/1_874_3_2153.jpeg
מירב כהן,https://fs.knesset.gov.il/globaldocs/MK/1006/1_1006_3_11251.jpeg
עופר כסיף,https://fs.knesset.gov.il/globaldocs/MK/1013/1_1013_3_12312.jpeg
אופיר כץ,https://fs.knesset.gov.il/globaldocs/MK/976/1_976_3_12324.jpeg
ישראל כץ,https://fs.knesset.gov.il/globaldocs/MK/69/1_69_3_191.jpeg
רון כץ,https://fs.knesset.gov.il/globaldocs/MK/1061/1_1061_3_17813.jpeg
יוראי להב הרצנו,https://fs.knesset.gov.il/globaldocs/MK/998/1_998_3_11225.jpeg
ירון לוי,https://fs.knesset.gov.il/globaldocs/MK/1127/1_1127_3_20229.png
מיקי לוי,https://fs.knesset.gov.il/globaldocs/MK/876/1_876_3_2167.jpeg
יריב לוין,https://fs.knesset.gov.il/globaldocs/MK/826/1_826_3_1921.jpeg
נעמה לזימי,https://fs.knesset.gov.il/globaldocs/MK/1082/1_1082_3_17989.jpeg
יאיר לפיד,https://fs.knesset.gov.il/globaldocs/MK/878/1_878_3_2178.jpeg
אביגדור ליברמן,https://fs.knesset.gov.il/globaldocs/MK/214/1_214_3_548.jpeg
טטיאנה מזרסקי,https://fs.knesset.gov.il/globaldocs/MK/1076/1_1076_3_17974.jpeg
מרב מיכאלי,https://fs.knesset.gov.il/globaldocs/MK/881/1_881_3_2196.jpeg
שלי טל מירון,https://fs.knesset.gov.il/globaldocs/MK/1118/1_1118_3_19926.jpeg
יונתן מישרקי,https://fs.knesset.gov.il/globaldocs/MK/1115/1_1115_3_19849.jpeg
אורי מקלב,https://fs.knesset.gov.il/globaldocs/MK/814/1_814_3_1874.jpeg
אבי מעוז,https://fs.knesset.gov.il/globaldocs/MK/1063/1_1063_3_17738.jpeg
צגה צגנש מלקו,https://fs.knesset.gov.il/globaldocs/MK/1122/1_1122_3_19962.jpeg
מיכאל  מלכיאלי,https://fs.knesset.gov.il/globaldocs/MK/957/1_957_3_2656.jpeg
יוליה מלינובסקי,https://fs.knesset.gov.il/globaldocs/MK/956/1_956_3_2649.jpeg
יעקב מרגי,https://fs.knesset.gov.il/globaldocs/MK/751/1_751_3_1669.jpeg
שרון ניר,https://fs.knesset.gov.il/globaldocs/MK/1106/1_1106_3_19718.jpeg
בנימין נתניהו,https://fs.knesset.gov.il/globaldocs/MK/90/1_90_3_248.jpeg
יואב סגלוביץ,https://fs.knesset.gov.il/globaldocs/MK/995/1_995_3_11219.jpeg
יבגני סובה,https://fs.knesset.gov.il/globaldocs/MK/994/1_994_3_11217.jpeg
צבי ידידיה סוכות,https://fs.knesset.gov.il/globaldocs/MK/1121/1_1121_3_19949.jpeg
משה סולומון,https://fs.knesset.gov.il/globaldocs/MK/1107/1_1107_3_19723.jpeg
לימור סון הר מלך,https://fs.knesset.gov.il/globaldocs/MK/1108/1_1108_3_19728.jpeg
אופיר סופר,https://fs.knesset.gov.il/globaldocs/MK/977/1_977_3_11108.jpeg
אורית סטרוק,https://fs.knesset.gov.il/globaldocs/MK/884/1_884_3_2213.jpeg
משה סעדה,https://fs.knesset.gov.il/globaldocs/MK/1109/1_1109_3_19733.jpeg
מנסור עבאס,https://fs.knesset.gov.il/globaldocs/MK/1007/1_1007_3_12320.jpeg
עפיף עבד,https://fs.knesset.gov.il/globaldocs/MK/1128/1_1128_3_20759.jpeg
איימן עודה,https://fs.knesset.gov.il/globaldocs/MK/938/1_938_3_2537.jpeg
עדי עזוז,https://fs.knesset.gov.il/globaldocs/MK/1130/1_1130_3_21032.jpeg
חוה אתי עטייה,https://fs.knesset.gov.il/globaldocs/MK/992/1_992_3_11212.jpeg
חמד עמאר,https://fs.knesset.gov.il/globaldocs/MK/837/1_837_3_1973.jpeg
צביקה פוגל,https://fs.knesset.gov.il/globaldocs/MK/1110/1_1110_3_19738.jpeg
עודד פורר,https://fs.knesset.gov.il/globaldocs/MK/951/1_951_3_2614.jpeg
משה פסל,https://fs.knesset.gov.il/globaldocs/MK/1124/1_1124_3_20007.jpeg
מאיר פרוש,https://fs.knesset.gov.il/globaldocs/MK/103/1_103_3_285.jpeg
יסמין פרידמן,https://fs.knesset.gov.il/globaldocs/MK/1079/1_1079_3_17943.jpeg
אורית פרקש הכהן,https://fs.knesset.gov.il/globaldocs/MK/978/1_978_3_11111.jpeg
מטי צרפתי הרכבי,https://fs.knesset.gov.il/globaldocs/MK/1091/1_1091_3_19743.jpeg
אריאל קלנר,https://fs.knesset.gov.il/globaldocs/MK/987/1_987_3_11129.jpeg
יצחק קרויזר,https://fs.knesset.gov.il/globaldocs/MK/1114/1_1114_3_19866.jpeg
גלעד קריב,https://fs.knesset.gov.il/globaldocs/MK/1066/1_1066_3_17753.jpeg
שלמה קרעי,https://fs.knesset.gov.il/globaldocs/MK/1011/1_1011_3_12326.jpeg
אליהו רביבו,https://fs.knesset.gov.il/globaldocs/MK/1111/1_1111_3_19753.jpeg
שמחה רוטמן,https://fs.knesset.gov.il/globaldocs/MK/1067/1_1067_3_17818.jpeg
יעל רון בן משה,https://fs.knesset.gov.il/globaldocs/MK/1048/1_1048_3_16568.jpeg
אפרת רייטן מרום,https://fs.knesset.gov.il/globaldocs/MK/1068/1_1068_3_17773.jpeg
נאור שירי,https://fs.knesset.gov.il/globaldocs/MK/1112/1_1112_3_19758.jpeg
מיכל שיר סגמן,https://fs.knesset.gov.il/globaldocs/MK/1004/1_1004_3_12334.jpeg
אלעזר שטרן,https://fs.knesset.gov.il/globaldocs/MK/899/1_899_3_2289.jpeg
קטי קטרין שטרית,https://fs.knesset.gov.il/globaldocs/MK/1018/1_1018_3_12330.jpeg
אלון שוסטר,https://fs.knesset.gov.il/globaldocs/MK/982/1_982_3_11099.jpeg
אושר שקלים,https://fs.knesset.gov.il/globaldocs/MK/1123/1_1123_3_19975.jpeg
עאידה תומא סלימאן,https://fs.knesset.gov.il/globaldocs/MK/948/1_948_3_2597.jpeg
פנינה תמנו,https://fs.knesset.gov.il/globaldocs/MK/905/1_905_3_2327.jpeg
חיים ביטון,https://fs.knesset.gov.il/globaldocs/MK/1055/1_1055_3_17783.jpeg
חנוך דב מלביצקי,https://fs.knesset.gov.il/globaldocs/MK/1105/1_1105_3_19712.jpeg
